cover.bad_1	nikobus_yaml_cover_0cdb08b8f4e6
cover.bad_2	nikobus_yaml_cover_8eefed054368
cover.bad_group	nikobus_yaml_group_cover_8f76ae8ecce2
cover.erdgeschoss	nikobus_yaml_group_cover_b9c3edcc429d
cover.esszimmer_1	nikobus_yaml_cover_9d52e34804df
cover.esszimmer_2	nikobus_yaml_cover_538a54274aea
cover.esszimmer_3	nikobus_yaml_cover_827ca54cc0ba
cover.esszimmer_4	nikobus_yaml_cover_d1aa2cdca7da
cover.esszimmer_5	nikobus_yaml_cover_9595deba4f8d
cover.esszimmer_group	nikobus_yaml_group_cover_07e974e67293
cover.esszimmer_jalousien_1_2_4_5	nikobus_yaml_group_cover_95018c579f32
cover.kuche_1	nikobus_yaml_cover_2ed60d945c14
cover.kuche_2	nikobus_yaml_cover_2ac06f84e558
cover.kuche_3	nikobus_yaml_cover_f9af6d435163
cover.kuche_4	nikobus_yaml_cover_53e8f548f96b
cover.kueche_group	nikobus_yaml_group_cover_c35081e0402b
cover.kueche_jalousien_3_4	nikobus_yaml_group_cover_709bdd73f143
cover.musikzimmer_1	nikobus_yaml_cover_1c3f4a302266
cover.musikzimmer_2	nikobus_yaml_cover_ea58ba406f0f
cover.musikzimmer_group	nikobus_yaml_group_cover_00957afa1e6f
cover.reserve	nikobus_yaml_cover_44c724225f5d
cover.wc	nikobus_yaml_cover_a9dbcbd3a0c2
cover.wohnzimmer_1	nikobus_yaml_cover_26d24eecffec
cover.wohnzimmer_2	nikobus_yaml_cover_6a037720c91e
cover.wohnzimmer_group	nikobus_yaml_group_cover_134cadf914aa
switch.garten_poolbeleuchtung	nikobus_yaml_cover_a03ea7e11f32_switch
